Year,Location,Month,Site,Replicate,Scientific_Name,Sum of Biomass_kg_per_m2
2018,North,Mar,AP,1,Agarum,2.0308
2018,North,Mar,AP,1,Alaria,0.0848
2018,North,Mar,AP,1,bryozoan,0.0512
2018,North,Mar,AP,1,Desmarestia,0.268
2018,North,Mar,AP,1,dregs,0.2716
2018,North,Mar,AP,1,Fucus,0.3608
2018,North,Mar,AP,1,Laminaria,0.408
2018,North,Mar,AP,1,misc. red,0.1056
2018,North,Mar,AP,1,Nereocystis,0.0548
2018,North,Mar,AP,1,Odonthalia,0.0276
2018,North,Mar,AP,1,Ptilota,0.0088
2018,North,Mar,AP,1,Saccharina latissima,0.5788
2018,North,Mar,AP,2,Agarum,1.006
2018,North,Mar,AP,2,Alaria,0.1144
2018,North,Mar,AP,2,bryozoan,0.0372
2018,North,Mar,AP,2,Desmarestia,0.008
2018,North,Mar,AP,2,dregs,3.5364
2018,North,Mar,AP,2,fleshy bryozoan,0.688
2018,North,Mar,AP,2,Fucus,0.0396
2018,North,Mar,AP,2,Laminaria,1.1512
2018,North,Mar,AP,2,misc. red,0.2452
2018,North,Mar,AP,2,Odonthalia,0.0124
2018,North,Mar,AP,2,Ptilota,0.0132
2018,North,Mar,AP,2,Saccharina latissima,0.2868
2018,North,Mar,AP,3,Agarum,0.1116
2018,North,Mar,AP,3,bryozoan,0.0056
2018,North,Mar,AP,3,Laminaria,0.2008
2018,North,Mar,AP,3,misc. holdfast,0.0588
2018,North,Mar,AP,3,misc. red,0.0588
2018,North,Mar,AP,4,Agarum,0.0256
2018,North,Mar,AP,4,Alaria,0.0028
2018,North,Mar,AP,4,bryozoan,0.0012
2018,North,Mar,AP,4,Fucus,0.0096
2018,North,Mar,AP,4,Laminaria,0.1352
2018,North,Mar,AP,4,misc. holdfast,0.0024
2018,North,Mar,AP,4,misc. red,0.004
2018,North,Mar,AP,5,Agarum,0.6796
2018,North,Mar,AP,5,Alaria,0.0552
2018,North,Mar,AP,5,bryozoan,0.0536
2018,North,Mar,AP,5,Desmarestia,0.0068
2018,North,Mar,AP,5,dregs,0.3192
2018,North,Mar,AP,5,fleshy bryozoan,0.0284
2018,North,Mar,AP,5,Fucus,0.0124
2018,North,Mar,AP,5,Laminaria,1.2416
2018,North,Mar,AP,5,misc. holdfast,0.0008
2018,North,Mar,AP,5,misc. red,0.1356
2018,North,Mar,AP,5,Odonthalia,0.0008
2018,North,Mar,AP,5,Opuntiella,0.006
2018,North,Mar,AP,5,Ptilota,0.0036
2018,North,Mar,AP,5,Saccharina latissima,0.0272
2018,North,Mar,AP,6,Agarum,1.234
2018,North,Mar,AP,6,Alaria,0.098
2018,North,Mar,AP,6,bryozoan,0.0784
2018,North,Mar,AP,6,Constantinia,0.006
2018,North,Mar,AP,6,Desmarestia,0.0252
2018,North,Mar,AP,6,dregs,0.7056
2018,North,Mar,AP,6,fleshy bryozoan,0.0464
2018,North,Mar,AP,6,Laminaria,1.7808
2018,North,Mar,AP,6,misc. red,0.3692
2018,North,Mar,AP,6,Odonthalia,0.002
2018,North,Mar,AP,6,Opuntiella,0.13
2018,North,Mar,AP,6,Ptilota,0.0184
2018,North,Mar,AP,6,Rhodomela,0.0212
2018,North,Mar,AP,6,Saccharina latissima,0.01
2018,North,Mar,AP,7,Agarum,1.8052
2018,North,Mar,AP,7,Alaria,0.3544
2018,North,Mar,AP,7,bryozoan,0.09
2018,North,Mar,AP,7,Constantinia,0.0196
2018,North,Mar,AP,7,Desmarestia,0.0544
2018,North,Mar,AP,7,dregs,2.2124
2018,North,Mar,AP,7,fleshy bryozoan,0.3336
2018,North,Mar,AP,7,Laminaria,3.3752
2018,North,Mar,AP,7,misc. red,0.4176
2018,North,Mar,AP,7,Odonthalia,0.016
2018,North,Mar,AP,7,Opuntiella,0.0164
2018,North,Mar,AP,7,Ptilota,0.028
2018,North,Mar,AP,7,Rhodomela,0.0076
2018,North,Mar,AP,7,Saccharina latissima,0.5124
2018,North,Mar,AP,8,Agarum,0.9212
2018,North,Mar,AP,8,Alaria,0.052
2018,North,Mar,AP,8,bryozoan,0.0364
2018,North,Mar,AP,8,Constantinia,0.0268
2018,North,Mar,AP,8,Desmarestia,0.028
2018,North,Mar,AP,8,dregs,0.062
2018,North,Mar,AP,8,fleshy bryozoan,0.0356
2018,North,Mar,AP,8,Laminaria,2.0744
2018,North,Mar,AP,8,misc. red,0.2152
2018,North,Mar,AP,8,Odonthalia,0.0024
2018,North,Mar,AP,8,Opuntiella,0.012
2018,North,Mar,AP,8,Ptilota,0.0008
2018,North,Mar,AP,8,Rhodomela,0.0048
2018,North,Mar,AP,8,Saccharina latissima,0.1972
2018,North,Mar,AP,9,Agarum,0.4836
2018,North,Mar,AP,9,Alaria,0.0024
2018,North,Mar,AP,9,bryozoan,0.0488
2018,North,Mar,AP,9,Constantinia,0.0104
2018,North,Mar,AP,9,Desmarestia,0.002
2018,North,Mar,AP,9,dregs,1.6444
2018,North,Mar,AP,9,fleshy bryozoan,0.3988
2018,North,Mar,AP,9,Laminaria,1.046
2018,North,Mar,AP,9,misc. holdfast,0.0204
2018,North,Mar,AP,9,misc. red,0.2844
2018,North,Mar,AP,9,Odonthalia,0.0024
2018,North,Mar,AP,9,Opuntiella,0.0392
2018,North,Mar,AP,9,Ptilota,0.0016
2018,North,Mar,AP,9,Saccharina latissima,0.088
2018,North,Mar,AP,10,Agarum,0.5944
2018,North,Mar,AP,10,Alaria,0.0236
2018,North,Mar,AP,10,bryozoan,0.01
2018,North,Mar,AP,10,Constantinia,0.0148
2018,North,Mar,AP,10,Desmarestia,0.006
2018,North,Mar,AP,10,dregs,0.0768
2018,North,Mar,AP,10,fleshy bryozoan,0.0264
2018,North,Mar,AP,10,Fucus,0.0292
2018,North,Mar,AP,10,Laminaria,0.6504
2018,North,Mar,AP,10,misc. red,0.0512
2018,North,Mar,AP,10,Odonthalia,0.002
2018,North,Mar,AP,10,Opuntiella,0.0052
2018,North,Mar,AP,10,Ptilota,0.00004
2018,North,Mar,AP,10,Saccharina latissima,0.0184
2018,North,Mar,BB,1,Agarum,0.438
2018,North,Mar,BB,1,bryozoan,0.0112
2018,North,Mar,BB,1,Desmarestia,0.0176
2018,North,Mar,BB,1,dregs,0.1968
2018,North,Mar,BB,1,Fucus,0.136
2018,North,Mar,BB,1,Laminaria,0.368
2018,North,Mar,BB,1,misc. red,0.9728
2018,North,Mar,BB,1,Odonthalia,0.0224
2018,North,Mar,BB,1,Ptilota,0.144
2018,North,Mar,BB,1,Rhodomela,0.0396
2018,North,Mar,BB,1,Ulva,0.00004
2018,North,Mar,BB,2,Agarum,0.1572
2018,North,Mar,BB,2,bryozoan,0.002
2018,North,Mar,BB,2,Constantinia,0.0008
2018,North,Mar,BB,2,Desmarestia,0.006
2018,North,Mar,BB,2,dregs,0.0276
2018,North,Mar,BB,2,Fucus,0.0204
2018,North,Mar,BB,2,Laminaria,0.2324
2018,North,Mar,BB,2,misc. red,0.3204
2018,North,Mar,BB,2,Odonthalia,0.0036
2018,North,Mar,BB,2,Ptilota,0.0704
2018,North,Mar,BB,2,Rhodomela,0.0188
2018,North,Mar,BB,2,Saccharina latissima,0.0116
2018,North,Mar,BB,3,Agarum,0.2088
2018,North,Mar,BB,3,bryozoan,0.0008
2018,North,Mar,BB,3,Constantinia,0.04
2018,North,Mar,BB,3,Desmarestia,0.002
2018,North,Mar,BB,3,dregs,0.0524
2018,North,Mar,BB,3,Fucus,0.0144
2018,North,Mar,BB,3,Laminaria,0.148
2018,North,Mar,BB,3,misc. red,0.374
2018,North,Mar,BB,3,Ptilota,0.0492
2018,North,Mar,BB,3,Rhodomela,0.0048
2018,North,Mar,BB,3,Saccharina latissima,0.3156
2018,North,Mar,BB,4,Agarum,0.2368
2018,North,Mar,BB,4,bryozoan,0.0116
2018,North,Mar,BB,4,Constantinia,0.0292
2018,North,Mar,BB,4,Desmarestia,0.0088
2018,North,Mar,BB,4,dregs,0.1428
2018,North,Mar,BB,4,fleshy bryozoan,0.012
2018,North,Mar,BB,4,Fucus,0.1292
2018,North,Mar,BB,4,Laminaria,0.1724
2018,North,Mar,BB,4,misc. red,0.7076
2018,North,Mar,BB,4,Odonthalia,0.00004
2018,North,Mar,BB,4,Ptilota,0.0452
2018,North,Mar,BB,4,Rhodomela,0.0232
2018,North,Mar,BB,4,Ulva,0.006
2018,North,Mar,BB,5,Agarum,0.3064
2018,North,Mar,BB,5,Alaria,0.0144
2018,North,Mar,BB,5,bryozoan,0.0068
2018,North,Mar,BB,5,Constantinia,0.074
2018,North,Mar,BB,5,Desmarestia,0.002
2018,North,Mar,BB,5,dregs,0.6424
2018,North,Mar,BB,5,fleshy bryozoan,0.012
2018,North,Mar,BB,5,Fucus,0.1016
2018,North,Mar,BB,5,Laminaria,0.1408
2018,North,Mar,BB,5,misc. red,1.0012
2018,North,Mar,BB,5,Odonthalia,0.0124
2018,North,Mar,BB,5,Ptilota,0.0652
2018,North,Mar,BB,5,Saccharina latissima,0.1672
2018,North,Mar,BB,6,Agarum,0.3196
2018,North,Mar,BB,6,bryozoan,0.0104
2018,North,Mar,BB,6,Desmarestia,0.0316
2018,North,Mar,BB,6,dregs,0.0976
2018,North,Mar,BB,6,fleshy bryozoan,0.0904
2018,North,Mar,BB,6,Fucus,0.1044
2018,North,Mar,BB,6,Laminaria,0.3492
2018,North,Mar,BB,6,misc. red,0.7636
2018,North,Mar,BB,6,Nereocystis,0.054
2018,North,Mar,BB,6,Ptilota,0.022
2018,North,Mar,BB,6,Rhodomela,0.0928
2018,North,Mar,BB,7,Agarum,0.16
2018,North,Mar,BB,7,bryozoan,0.0104
2018,North,Mar,BB,7,Desmarestia,0.0064
2018,North,Mar,BB,7,dregs,0.0504
2018,North,Mar,BB,7,Fucus,0.0288
2018,North,Mar,BB,7,Laminaria,0.0612
2018,North,Mar,BB,7,misc. red,0.3716
2018,North,Mar,BB,7,Odonthalia,0.0188
2018,North,Mar,BB,7,Ptilota,0.0224
2018,North,Mar,BB,7,Saccharina latissima,0.0064
2018,North,Mar,BB,8,Agarum,0.1216
2018,North,Mar,BB,8,bryozoan,0.0036
2018,North,Mar,BB,8,Constantinia,0.0296
2018,North,Mar,BB,8,dregs,0.1112
2018,North,Mar,BB,8,Fucus,0.0428
2018,North,Mar,BB,8,Laminaria,0.18
2018,North,Mar,BB,8,misc. red,0.4168
2018,North,Mar,BB,8,Odonthalia,0.0216
2018,North,Mar,BB,8,Ptilota,0.0372
2018,North,Mar,BB,8,Rhodomela,0.0064
2018,North,Mar,BB,8,Saccharina latissima,0.0188
2018,North,Mar,BB,9,Agarum,0.1816
2018,North,Mar,BB,9,Constantinia,0.0196
2018,North,Mar,BB,9,Desmarestia,0.006
2018,North,Mar,BB,9,dregs,0.6144
2018,North,Mar,BB,9,fleshy bryozoan,0.0152
2018,North,Mar,BB,9,Fucus,0.064
2018,North,Mar,BB,9,Laminaria,0.2048
2018,North,Mar,BB,9,misc. red,0.8744
