SAMPLE MONTH,SITE,WRACK WIDTH (m) #1,WRACK WIDTH (m) #2,WRACK WIDTH (m) #3,WRACK WIDTH (m) #4,WRACK WIDTH (m) #5,WRACK WIDTH (m) #6,WRACK WIDTH (m) #7,WRACK WIDTH (m) #8,WRACK WIDTH (m) #9,WRACK WIDTH (m) #10,MEAN WRACK WIDTH (m),HORIZONTAL LENGTH (m),WRACK AREA (m^2)
Mar,AP,8.2,7.5,4.6,4.7,4.6,4.9,3.4,2.4,5.1,5.6,5.1,50,255
Apr,AP,5.7,5.2,5.8,7.9,3.6,4.5,5.6,6.3,5.8,4.8,5.52,50,276
May,AP,15.2,14.2,13.2,12.5,13.6,13.1,12.9,11.5,12.8,13,13.2,50,660
Jun,AP,11.8,10.1,10.6,11.6,11.6,11.4,11.7,10.3,9.9,11.4,11.04,50,552
Jul,AP,3.5,3.8,6.3,4.1,5.3,5.1,4.3,3.9,4,4.7,4.5,50,225
Aug,AP,4.6,3.8,4,3.9,5,5.6,5.9,5.2,6.3,6.9,5.12,50,256
Sep,AP,3.2,3.4,1.9,3.4,5.2,4.7,6.9,3.2,2.1,2.7,3.67,50,183.5
Mar,BB,5.5,5.6,5.2,5.7,6.6,6.2,5.6,6.2,6.8,6.6,6,50,300
Apr,BB,0.5,0.4,0.4,0.7,1.2,0.7,0.9,0.6,1.3,0.7,0.74,50,37
May,BB,7.5,6.4,6.2,6.4,9.6,6.5,6.7,6.3,6,7.9,6.95,50,347.5
Jun,BB,3.5,3,3.9,3.1,3.4,3.3,4.1,3.2,2.8,3.9,3.42,50,171
Jul,BB,3,3.1,2.9,2.8,4.1,3.3,2.8,4.2,2.7,3.5,3.24,50,162
Aug,BB,6.3,5.8,6.2,6.1,6.7,6.2,7.4,6.8,5.9,6.7,6.41,50,320.5
Sep,BB,4,4.3,4.2,3.3,3.4,3.3,3,3.9,3.6,3.8,3.68,50,184
Mar,BP,1.2,2,2.2,1.3,1.7,1.2,2.1,1.3,1.3,1.2,1.55,50,77.5
Apr,BP,1.5,1.5,1.7,1.8,1.3,2.4,2.1,4.5,2.1,1.7,2.06,50,103
May,BP,3.2,3.8,2.9,1.8,2.4,1.4,0.7,1.7,0.5,2.4,2.08,50,104
Jun,BP,8,7.3,6.9,8,11.2,10.5,10.6,7.1,7.6,6.5,8.37,50,418.5
Jul,BP,1.5,1.2,1,2.3,2.1,0.4,1.8,1.5,0.4,3.7,1.59,50,79.5
Aug,BP,1.8,3.1,3,3.1,3.9,4.2,4.1,3.9,3.7,4,3.48,50,174
Sep,BP,4.4,1.9,2.1,2.8,4.3,2.8,1.3,4.4,4.2,3.7,3.19,50,159.5
Jun,BP_Dry,3.4,3,1.7,3.6,3.9,3,2.5,4,2.5,3.2,3.08,50,154
Jun,BP_Fresh,1,0.7,1.2,1.8,0.5,1.2,0.8,1.4,0.2,0.8,0.96,50,48
