yr	mo	dy	hr	mn	degT	m/s	m/s
2024	12	10	21	32	110	4.1	6.7
2024	12	10	21	22	110	4.1	7.2
2024	12	10	21	12	100	4.6	8.2
2024	12	10	21	2	100	3.6	6.2
2024	12	10	20	52	100	5.1	8.8
2024	12	10	20	42	100	3.6	7.2
2024	12	10	20	32	100	4.6	7.7
2024	12	10	20	22	90	3.6	6.2
2024	12	10	20	12	100	4.1	7.7
2024	12	10	20	2	100	5.1	10.3
2024	12	10	19	52	100	5.7	5.7
2024	12	10	19	42	100	6.2	10.3
2024	12	10	19	32	100	6.2	9.3
2024	12	10	19	22	110	5.7	10.3
2024	12	10	19	12	100	4.6	7.7
2024	12	10	19	2	90	4.6	5.7
2024	12	10	18	52	90	3.6	4.6
2024	12	10	18	42	90	4.1	5.7
2024	12	10	18	32	80	4.6	8.2
2024	12	10	18	22	90	3.1	6.2
2024	12	10	18	12	80	3.1	3.6
2024	12	10	18	2	100	4.1	4.6
2024	12	10	17	52	100	4.1	7.7
2024	12	10	17	42	110	3.1	5.1
2024	12	10	17	32	130	3.1	5.7
2024	12	10	17	22	140	4.1	5.1
2024	12	10	17	12	130	3.6	6.2
2024	12	10	17	2	120	3.1	5.1
2024	12	10	16	52	120	3.6	5.7
2024	12	10	16	42	100	3.1	6.2
2024	12	10	16	32	130	1.5	2.6
2024	12	10	16	22	100	2.1	2.6
2024	12	10	16	12	90	2.6	4.1
2024	12	10	16	2	90	2.1	3.6
2024	12	10	15	52	110	2.6	3.6
2024	12	10	15	42	120	3.6	4.6
2024	12	10	15	32	140	2.6	5.1
2024	12	10	15	22	130	2.1	2.6
2024	12	10	15	12	100	1	2.1
2024	12	10	15	2	140	2.6	MM
2024	12	10	14	52	150	3.6	5.1
2024	12	10	14	42	150	3.6	3.6
2024	12	10	14	32	130	3.6	5.7
2024	12	10	14	22	140	5.1	7.2
2024	12	10	14	12	120	3.6	8.8
2024	12	10	14	2	130	5.1	7.7
2024	12	10	13	52	140	7.2	8.8
2024	12	10	13	42	140	8.2	12.4
2024	12	10	13	32	140	8.8	13.4
2024	12	10	13	22	150	7.7	12.9
2024	12	10	13	12	150	6.7	9.8
2024	12	10	13	2	130	6.2	9.3
2024	12	10	12	52	120	5.7	9.3
2024	12	10	12	42	120	4.6	10.3
2024	12	10	12	32	130	7.7	12.9
2024	12	10	12	22	130	6.7	10.8
2024	12	10	12	12	120	3.6	8.8
2024	12	10	12	2	120	3.1	4.1
2024	12	10	11	52	110	4.1	6.2
2024	12	10	11	42	130	4.1	9.8
2024	12	10	11	32	100	2.1	4.1
2024	12	10	11	22	110	2.1	2.6
2024	12	10	11	12	110	3.1	3.6
2024	12	10	11	2	120	4.1	7.2
2024	12	10	10	52	120	4.1	9.8
2024	12	10	10	42	120	4.1	6.7
2024	12	10	10	32	130	4.1	7.7
2024	12	10	10	22	130	4.1	6.7
2024	12	10	10	12	140	4.1	6.2
2024	12	10	10	2	140	4.1	8.2
2024	12	10	9	52	140	2.6	6.2
2024	12	10	9	42	130	2.1	4.1
2024	12	10	9	32	130	2.6	5.1
2024	12	10	9	22	130	2.1	3.6
2024	12	10	9	12	140	2.6	4.6
2024	12	10	9	2	150	3.1	4.1
2024	12	10	8	52	150	3.1	5.1
2024	12	10	8	42	140	3.6	5.1
2024	12	10	8	32	130	4.1	5.1
2024	12	10	8	22	130	4.1	5.7
2024	12	10	8	12	130	4.6	7.2
2024	12	10	8	2	130	5.1	8.8
2024	12	10	7	52	130	5.1	7.7
2024	12	10	7	42	140	5.1	9.3
2024	12	10	7	32	140	5.1	7.7
2024	12	10	7	22	140	5.1	7.2
2024	12	10	7	12	140	4.6	7.7
2024	12	10	7	2	140	4.6	7.2
2024	12	10	6	52	130	3.6	5.7
2024	12	10	6	42	130	4.1	5.7
2024	12	10	6	32	110	4.1	7.2
2024	12	10	6	22	100	4.6	9.3
2024	12	10	6	12	100	5.1	9.3
2024	12	10	6	2	110	4.6	7.7
2024	12	10	5	52	110	5.1	9.8
2024	12	10	5	42	100	5.1	10.8
2024	12	10	5	32	100	4.6	7.7
2024	12	10	5	22	100	5.7	7.7
2024	12	10	5	12	100	4.6	8.8
2024	12	10	5	2	110	5.1	5.1
2024	12	10	4	52	110	5.7	8.2
2024	12	10	4	42	120	6.2	8.8
2024	12	10	4	32	120	5.7	8.8
2024	12	10	4	22	120	4.1	9.3
2024	12	10	4	12	120	3.1	5.1
2024	12	10	4	2	110	3.6	6.2
2024	12	10	3	52	110	4.1	7.2
2024	12	10	3	42	110	4.1	5.1
2024	12	10	3	32	110	3.6	6.7
2024	12	10	3	22	110	2.6	4.1
2024	12	10	3	12	100	3.6	6.2
2024	12	10	3	2	110	3.1	5.1
2024	12	10	2	52	120	3.6	6.7
2024	12	10	2	42	130	4.6	6.7
2024	12	10	2	32	140	4.6	8.2
2024	12	10	2	22	140	5.1	7.2
2024	12	10	2	12	140	5.1	9.3
2024	12	10	2	2	140	4.6	8.2
2024	12	10	1	52	150	5.1	7.7
2024	12	10	1	42	140	5.1	9.3
2024	12	10	1	32	140	3.6	6.7
2024	12	10	1	22	120	3.6	4.1
2024	12	10	1	12	120	3.6	7.2
