Site,Date,timeStart,timeEnd,Elevation (m),Transect,meterPoint,totalCover,eelgrass,macroalgae,algalComp,terrestial ,humanDebris,wrackVertDepth,wrackWidth,dataCollectors,Notes
diamondCreek,2024-09-24,20:53,21:20,4.4,DC1,10,5,0,100,,0,0,2,80,Viramontes |Lucy Pyne,
diamondCreek,2024-09-24,20:53,21:20,4.4,DC1,16,7,0,100,,0,0,1,50,Viramontes |Lucy Pyne,
diamondCreek,2024-09-24,20:53,21:20,4.4,DC1,24,90,0,88,,12,0,1,270,Viramontes |Lucy Pyne,
diamondCreek,2024-09-24,20:53,21:20,4.4,DC1,32,15,0,100,,0,0,3,165,Viramontes |Lucy Pyne,
diamondCreek,2024-09-24,20:53,21:20,4.4,DC1,33,15,0,100,,0,0,2,75,Viramontes |Lucy Pyne,
diamondCreek,2024-09-24,20:53,21:20,4.4,DC1,35,5,0,0,,0,0,2.5,50,Viramontes |Lucy Pyne,
diamondCreek,2024-09-24,20:53,21:20,4.4,DC1,37,5,0,0,,0,0,7,135,Viramontes |Lucy Pyne,
diamondCreek,2024-09-24,20:53,21:20,4.4,DC1,46,20,0,100,,0,0,4,45,Viramontes |Lucy Pyne,
diamondCreek,2024-09-24,20:53,21:20,4.4,DC1,48,3,0,100,,0,0,1,9,Viramontes |Lucy Pyne,
diamondCreek,2024-09-24,20:53,21:20,4.4,DC1,50,2,0,100,,0,0,0.5,3,Viramontes |Lucy Pyne,
Bishops,2024-09-25,12:40,1:45,4.5,BB2,4,97,1,98,,1,0,12,144,Viramontes,
Bishops,2024-09-25,12:40,1:45,4.5,BB2,5,80,1,98,,1,0,5,137,Viramontes,
Bishops,2024-09-25,12:40,1:45,4.5,BB2,8,85,1,99,,0,0,9,172,Viramontes,
Bishops,2024-09-25,12:40,1:45,4.5,BB2,9,95,1,99,,0,0,12,215,Viramontes,
Bishops,2024-09-25,12:40,1:45,4.5,BB2,14,90,1,99,,0,0,11,136,Viramontes,
Bishops,2024-09-25,12:40,1:45,4.5,BB2,34,45,1,99,,0,0,5,80,Viramontes,
Bishops,2024-09-25,12:40,1:45,4.5,BB2,36,55,1,99,,0,0,9,110,Viramontes,
Bishops,2024-09-25,12:40,1:45,4.5,BB2,41,35,1,99,,1,0,7.5,111,Viramontes,
Bishops,2024-09-25,12:40,1:45,4.5,BB2,47,85,0,100,,0,0,5,212,Viramontes,
Bishops,2024-09-25,12:40,1:45,4.5,BB2,49,45,1,98,,1,0,8,113,Viramontes,
Bishops,2024-10-01,17:15:00 PM,6:23,6,BB3,1,60,0,95,,5,0,14,124,Viramontes,
Bishops,2024-10-01,17:15:00 PM,6:23,6,BB3,5,90,0,95,,5,0,8,73,Viramontes,
Bishops,2024-10-01,17:15:00 PM,6:23,6,BB3,11,65,0,99,,1,0,11,107,Viramontes,
Bishops,2024-10-01,17:15:00 PM,6:23,6,BB3,25,95,1,99,,0,0,13,78,Viramontes,
Bishops,2024-10-01,17:15:00 PM,6:23,6,BB3,32,15,0,100,,0,0,6,87,Viramontes,
Bishops,2024-10-01,17:15:00 PM,6:23,6,BB3,34,10,0,65,,35,0,5,81,Viramontes,
Bishops,2024-10-01,17:15:00 PM,6:23,6,BB3,39,90,0,99,,1,0,12,118,Viramontes,
Bishops,2024-10-01,17:15:00 PM,6:23,6,BB3,43,20,0,100,,0,0,3,147,Viramontes,
Bishops,2024-10-01,17:15:00 PM,6:23,6,BB3,45,55,0,100,,0,0,4,141,Viramontes,
Bishops,2024-10-01,17:15:00 PM,6:23,6,BB3,48,35,0,99,,1,0,6,193,Viramontes,
diamondCreek,2024-10-02,17:05,17:50,6,DC2,2,10,0,99,,1,0,2,168,Viramontes | Pyne,
diamondCreek,2024-10-02,17:05,17:50,6,DC2,10,5,0,100,,0,0,4,86,Viramontes | Pyne,
diamondCreek,2024-10-02,17:05,17:50,6,DC2,17,7,0,100,,0,0,3,75,Viramontes | Pyne,
diamondCreek,2024-10-02,17:05,17:50,6,DC2,20,3,0,100,,0,0,2,154,Viramontes | Pyne,
diamondCreek,2024-10-02,17:05,17:50,6,DC2,22,5,0,80,,20,0,5,147,Viramontes | Pyne,
diamondCreek,2024-10-02,17:05,17:50,6,DC2,23,2,0,100,,0,0,2,90,Viramontes | Pyne,
diamondCreek,2024-10-02,17:05,17:50,6,DC2,27,2,0,100,,0,0,2,97,Viramontes | Pyne,
diamondCreek,2024-10-02,17:05,17:50,6,DC2,28,5,0,100,,0,0,3,371,Viramontes | Pyne,
diamondCreek,2024-10-02,17:05,17:50,6,DC2,35,5,0,100,,0,0,3,43,Viramontes | Pyne,
diamondCreek,2024-10-02,17:05,17:50,6,DC2,42,5,0,99,,1,0,3,70,Viramontes | Pyne,
Bishops,2024-10-04,16:05,18:50,6,BB4,3,99,1,98,,1,0,23,144,Viramontes | Pyne,
Bishops,2024-10-04,16:05,18:50,6,BB4,8,90,1,97,,2,0,17,214,Viramontes | Pyne,
Bishops,2024-10-04,16:05,18:50,6,BB4,12,85,1,94,,5,0,15,73,Viramontes | Pyne,
Bishops,2024-10-04,16:05,18:50,6,BB4,17,35,0,100,,0,0,11,152,Viramontes | Pyne,
Bishops,2024-10-04,16:05,18:50,6,BB4,25,85,1,98,,1,0,9,111,Viramontes | Pyne,
Bishops,2024-10-04,16:05,18:50,6,BB4,28,90,1,94,,1,0,13,112,Viramontes | Pyne,
Bishops,2024-10-04,16:05,18:50,6,BB4,33,99,1,69,,30,0,17,129,Viramontes | Pyne,
Bishops,2024-10-04,16:05,18:50,6,BB4,38,95,1,98,,1,0,23,128,Viramontes | Pyne,
Bishops,2024-10-04,16:05,18:50,6,BB4,41,100,1,98,,1,0,14,157,Viramontes | Pyne,
Bishops,2024-10-04,16:05,18:50,6,BB4,44,95,0,99,,1,0,16,222,Viramontes | Pyne,
Bishops,2024-10-04,19:23,20:30,5.5,BB5,1,7,0,70,,30,,7,81,Viramontes | Pyne,
Bishops,2024-10-04,19:23,20:30,5.5,BB5,5,5,0,100,,0,,3,172,Viramontes | Pyne,
Bishops,2024-10-04,19:23,20:30,5.5,BB5,10,5,0,100,,,,4,52,Viramontes | Pyne,
Bishops,2024-10-04,19:23,20:30,5.5,BB5,15,0,0,0,,0,0,0,0,Viramontes | Pyne,
Bishops,2024-10-04,19:23,20:30,5.5,BB5,19,3,0,100,,0,0,6,10,Viramontes | Pyne,
Bishops,2024-10-04,19:23,20:30,5.5,BB5,32,5,5,95,,0,0,9,193,Viramontes | Pyne,
Bishops,2024-10-04,19:23,20:30,5.5,BB5,36,15,0,100,,0,0,3,118,Viramontes | Pyne,
Bishops,2024-10-04,19:23,20:30,5.5,BB5,47,5,0,100,,0,0,5,125,Viramontes | Pyne,
Bishops,2024-10-04,19:23,20:30,5.5,BB5,48,3,0,100,,0,0,4,34,Viramontes | Pyne,
Bishops,2024-10-04,19:23,20:30,5.5,BB5,50,2,0,100,,0,0,3,7,Viramontes | Pyne,
